city,city_ascii,country,admin_name
malishevë,malisheve,kosovo,malishevë
prizren,prizren,kosovo,prizren
zubin potok,zubin potok,kosovo,zubin potok
kamenicë,kamenice,kosovo,kamenicë
viti,viti,kosovo,viti
shtërpcë,shterpce,kosovo,shtërpcë
shtime,shtime,kosovo,shtime
vushtrri,vushtrri,kosovo,vushtrri
dragash,dragash,kosovo,dragash
podujevë,podujeve,kosovo,podujevë
fushë kosovë,fushe kosove,kosovo,fushë kosovë
kaçanik,kacanik,kosovo,kaçanik
klinë,kline,kosovo,klinë
leposaviq,leposaviq,kosovo,leposaviq
pejë,peje,kosovo,pejë
rahovec,rahovec,kosovo,rahovec
gjilan,gjilan,kosovo,gjilan
lipjan,lipjan,kosovo,lipjan
obiliq,obiliq,kosovo,obiliq
gjakovë,gjakove,kosovo,gjakovë
pristina,pristina,kosovo,prishtinë
deçan,decan,kosovo,deçan
istog,istog,kosovo,istog
hani i elezit,hani i elezit,kosovo,hani i elezit
junik,junik,kosovo,junik
kllokot,kllokot,kosovo,kllokot
mamushë,mamushe,kosovo,mamushë
partesh,partesh,kosovo,partesh
ranillug,ranillug,kosovo,ranillug
ferizaj,ferizaj,kosovo,ferizaj
zveçan,zvecan,kosovo,zveçan
suharekë,suhareke,kosovo,suharekë
gllogovc,gllogovc,kosovo,gllogovc
mitrovicë,mitrovice,kosovo,
skenderaj,skenderaj,kosovo,skenderaj 
novobërdë,novoberde,kosovo,novobërdë
graçanicë,gracanice,kosovo,graçanicë
longyearbyen,longyearbyen,svalbard,
sanaa,sanaa,yemen,amānat al ‘āşimah
marib,marib,yemen,ma’rib
al jabīn,al jabin,yemen,raymah
hajjah,hajjah,yemen,ḩajjah
ibb,ibb,yemen,ibb
al hudaydah,al hudaydah,yemen,al ḩudaydah
lahij,lahij,yemen,laḩij
al maḩwīt,al mahwit,yemen,al maḩwīt
taizz,taizz,yemen,ta‘izz
sadah,sadah,yemen,şa‘dah
dhamar,dhamar,yemen,dhamār
‘amrān,`amran,yemen,‘amrān
ad dāli‘,ad dali`,yemen,ad dāli‘
saywun,saywun,yemen,ḩadramawt
al bayda,al bayda,yemen,al baydā’
zinjibār,zinjibar,yemen,abyan
rida,rida,yemen,al baydā’
'ataq,'ataq,yemen,shabwah
al ghaydah,al ghaydah,yemen,al mahrah
sayhut,sayhut,yemen,al mahrah
al mukalla,al mukalla,yemen,ḩadramawt
al ḩazm,al hazm,yemen,al jawf
zabīd,zabid,yemen,al ḩudaydah
aden,aden,yemen,‘adan
hadiboh,hadiboh,yemen,arkhabīl suquţrá
ash shihr,ash shihr,yemen,ḩadramawt
dzaoudzi,dzaoudzi,mayotte,
pretoria,pretoria,south africa,gauteng
lebowakgomo,lebowakgomo,south africa,limpopo
potchefstroom,potchefstroom,south africa,north west
graaff reinet,graaff reinet,south africa,eastern cape
rustenburg,rustenburg,south africa,north west
brandfort,brandfort,south africa,free state
vryheid,vryheid,south africa,kwazulu-natal
vereeniging,vereeniging,south africa,gauteng
brits,brits,south africa,north west
bethlehem,bethlehem,south africa,free state
ubomba,ubomba,south africa,kwazulu-natal
polokwane,polokwane,south africa,limpopo
springbok,springbok,south africa,northern cape
thohoyandou,thohoyandou,south africa,limpopo
pietermaritzburg,pietermaritzburg,south africa,kwazulu-natal
poffader,poffader,south africa,northern cape
carnarvon,carnarvon,south africa,northern cape
kroonstad,kroonstad,south africa,free state
alexander bay,alexander bay,south africa,northern cape
bloemhof,bloemhof,south africa,north west
hermanus,hermanus,south africa,western cape
bethal,bethal,south africa,mpumalanga
upington,upington,south africa,northern cape
tzaneen,tzaneen,south africa,limpopo
vanhynsdorp,vanhynsdorp,south africa,western cape
musina,musina,south africa,limpopo
kimberley,kimberley,south africa,northern cape
durban,durban,south africa,kwazulu-natal
klerksdorp,klerksdorp,south africa,north west
welkom,welkom,south africa,free state
de aar,de aar,south africa,northern cape
prieska,prieska,south africa,northern cape
saldanha,saldanha,south africa,western cape
middelburg,middelburg,south africa,eastern cape
port st. johns,port st. johns,south africa,eastern cape
volksrust,volksrust,south africa,mpumalanga
ulundi,ulundi,south africa,kwazulu-natal
beaufort west,beaufort west,south africa,western cape
komatipoort,komatipoort,south africa,mpumalanga
nelspruit,nelspruit,south africa,mpumalanga
standerton,standerton,south africa,mpumalanga
johannesburg,johannesburg,south africa,gauteng
kuruman,kuruman,south africa,northern cape
paarl,paarl,south africa,western cape
worcester,worcester,south africa,western cape
colesberg,colesberg,south africa,northern cape
umtata,umtata,south africa,eastern cape
aliwal north,aliwal north,south africa,eastern cape
middelburg,middelburg,south africa,mpumalanga
springs,springs,south africa,gauteng
benoni,benoni,south africa,gauteng
port shepstone,port shepstone,south africa,kwazulu-natal
oudtshoorn,oudtshoorn,south africa,western cape
port elizabeth,port elizabeth,south africa,eastern cape
port alfred,port alfred,south africa,eastern cape
east london,east london,south africa,eastern cape
mossel bay,mossel bay,south africa,western cape
vryburg,vryburg,south africa,north west
uitenhage,uitenhage,south africa,eastern cape
bhisho,bhisho,south africa,eastern cape
knysna,knysna,south africa,western cape
queenstown,queenstown,south africa,eastern cape
cradock,cradock,south africa,eastern cape
bredasdorp,bredasdorp,south africa,western cape
swellendam,swellendam,south africa,western cape
ladysmith,ladysmith,south africa,kwazulu-natal
george,george,south africa,western cape
grahamstown,grahamstown,south africa,eastern cape
mmabatho,mmabatho,south africa,north west
mahikeng,mahikeng,south africa,north west
bloemfontein,bloemfontein,south africa,free state
cape town,cape town,south africa,western cape
zambezi,zambezi,zambia,north-western
solwezi,solwezi,zambia,north-western
lusaka,lusaka,zambia,lusaka
kaoma,kaoma,zambia,western
chipata,chipata,zambia,eastern
senanga,senanga,zambia,western
sesheke,sesheke,zambia,western
chililabombwe,chililabombwe,zambia,copperbelt
chingola,chingola,zambia,copperbelt
kasempa,kasempa,zambia,north-western
kitwe,kitwe,zambia,copperbelt
mufulira,mufulira,zambia,copperbelt
nchelenge,nchelenge,zambia,luapula
mazabuka,mazabuka,zambia,southern
lukulu,lukulu,zambia,western
kafue,kafue,zambia,lusaka
lundazi,lundazi,zambia,eastern
mansa,mansa,zambia,luapula
mwinilunga,mwinilunga,zambia,north-western
mumbwa,mumbwa,zambia,central
kalabo,kalabo,zambia,western
nyimba,nyimba,zambia,eastern
kapiri mposhi,kapiri mposhi,zambia,central
kabwe,kabwe,zambia,central
ndola,ndola,zambia,copperbelt
kasama,kasama,zambia,northern
mbala,mbala,zambia,northern
kawambwa,kawambwa,zambia,luapula
luanshya,luanshya,zambia,copperbelt
mongu,mongu,zambia,western
mpika,mpika,zambia,muchinga
chinsali,chinsali,zambia,muchinga
livingstone,livingstone,zambia,southern
choma,choma,zambia,southern
plumtree,plumtree,zimbabwe,
kariba,kariba,zimbabwe,
hwange,hwange,zimbabwe,
chiredzi,chiredzi,zimbabwe,
mazowe,mazowe,zimbabwe,mashonaland central
zvishavane,zvishavane,zimbabwe,masvingo
shamva,shamva,zimbabwe,mashonaland central
harare,harare,zimbabwe,harare
kwekwe,kwekwe,zimbabwe,midlands
kadoma,kadoma,zimbabwe,mashonaland west
gwanda,gwanda,zimbabwe,matabeleland south
chinhoyi,chinhoyi,zimbabwe,
beitbridge,beitbridge,zimbabwe,
mutare,mutare,zimbabwe,manicaland
gweru,gweru,zimbabwe,
karoi,karoi,zimbabwe,mashonaland west
masvingo,masvingo,zimbabwe,masvingo
bulawayo,bulawayo,zimbabwe,bulawayo
victoria falls,victoria falls,zimbabwe,matabeleland north
chitungwiza,chitungwiza,zimbabwe,harare
maqat,maqat,kazakhstan,atyraū
zhangaozen,zhangaozen,kazakhstan,mangghystaū
taraz,taraz,kazakhstan,zhambyl
shymkent,shymkent,kazakhstan,ongtüstik qazaqstan
oral,oral,kazakhstan,batys qazaqstan
balqash,balqash,kazakhstan,qaraghandy
zaysan,zaysan,kazakhstan,shyghys qazaqstan
oytal,oytal,kazakhstan,zhambyl
zholymbet,zholymbet,kazakhstan,aqmola
serebryansk,serebryansk,kazakhstan,shyghys qazaqstan
chapaev,chapaev,kazakhstan,batys qazaqstan
ridder,ridder,kazakhstan,shyghys qazaqstan
zhaltyr,zhaltyr,kazakhstan,aqmola
atbasar,atbasar,kazakhstan,aqmola
aqsay,aqsay,kazakhstan,batys qazaqstan
shemonaikha,shemonaikha,kazakhstan,shyghys qazaqstan
atasu,atasu,kazakhstan,qaraghandy
rudny,rudny,kazakhstan,qostanay
makhambet,makhambet,kazakhstan,atyraū
fort shevchenko,fort shevchenko,kazakhstan,mangghystaū
qusmuryn,qusmuryn,kazakhstan,qostanay
oktyabrsk,oktyabrsk,kazakhstan,aqtöbe
khromtau,khromtau,kazakhstan,aqtöbe
algha,algha,kazakhstan,aqtöbe
embi,embi,kazakhstan,aqtöbe
ushtobe,ushtobe,kazakhstan,almaty
burylbaytal,burylbaytal,kazakhstan,zhambyl
zhanibek,zhanibek,kazakhstan,batys qazaqstan
esil,esil,kazakhstan,aqmola
derzhavinsk,derzhavinsk,kazakhstan,aqmola
saryshaghan,saryshaghan,kazakhstan,qaraghandy
turgay,turgay,kazakhstan,qostanay
sarqan,sarqan,kazakhstan,almaty
arqalyq,arqalyq,kazakhstan,qostanay
shalqar,shalqar,kazakhstan,aqtöbe
shieli,shieli,kazakhstan,qyzylorda
bayghanin,bayghanin,kazakhstan,aqtöbe
zhezqazghan,zhezqazghan,kazakhstan,qaraghandy
mangyshlak,mangyshlak,kazakhstan,mangghystaū
zhosaly,zhosaly,kazakhstan,qyzylorda
beyneu,beyneu,kazakhstan,mangghystaū
qazaly,qazaly,kazakhstan,qyzylorda
aral,aral,kazakhstan,qyzylorda
ayakoz,ayakoz,kazakhstan,shyghys qazaqstan
urzhar,urzhar,kazakhstan,shyghys qazaqstan
qapshaghay,qapshaghay,kazakhstan,almaty
esik,esik,kazakhstan,almaty
turkistan,turkistan,kazakhstan,ongtüstik qazaqstan
qaratau,qaratau,kazakhstan,zhambyl
sharbaqty,sharbaqty,kazakhstan,pavlodar
oostanay,oostanay,kazakhstan,qostanay
kachiry,kachiry,kazakhstan,pavlodar
kishkenekol,kishkenekol,kazakhstan,soltüstik qazaqstan
bulaevo,bulaevo,kazakhstan,soltüstik qazaqstan
shonzhy,shonzhy,kazakhstan,almaty
qyzylorda,qyzylorda,kazakhstan,qyzylorda
qaraghandy,qaraghandy,kazakhstan,qaraghandy
ertis,ertis,kazakhstan,pavlodar
tayynsha,tayynsha,kazakhstan,soltüstik qazaqstan
qulan,qulan,kazakhstan,zhambyl
shu,shu,kazakhstan,zhambyl
kentau,kentau,kazakhstan,ongtüstik qazaqstan
oskemen,oskemen,kazakhstan,shyghys qazaqstan
aqtau,aqtau,kazakhstan,mangghystaū
taldyqorghan,taldyqorghan,kazakhstan,almaty
astana,astana,kazakhstan,astana
aqtobe,aqtobe,kazakhstan,aqtöbe
kokshetau,kokshetau,kazakhstan,aqmola
petropavlovsk,petropavlovsk,kazakhstan,soltüstik qazaqstan
pavlodar,pavlodar,kazakhstan,pavlodar
otar,otar,kazakhstan,zhambyl
almaty,almaty,kazakhstan,almaty
bestobe,bestobe,kazakhstan,aqmola
arys,arys,kazakhstan,ongtüstik qazaqstan
lenger,lenger,kazakhstan,ongtüstik qazaqstan
aqsu,aqsu,kazakhstan,aqmola
temirtau,temirtau,kazakhstan,qaraghandy
makinsk,makinsk,kazakhstan,aqmola
osakarovka,osakarovka,kazakhstan,qaraghandy
qarqaraly,qarqaraly,kazakhstan,qaraghandy
ekibastuz,ekibastuz,kazakhstan,pavlodar
zyryanovsk,zyryanovsk,kazakhstan,shyghys qazaqstan
komsomolets,komsomolets,kazakhstan,qostanay
baykonur,baykonur,kazakhstan,qyzylorda
erymentau,erymentau,kazakhstan,aqmola
qarazhal,qarazhal,kazakhstan,qaraghandy
tobol,tobol,kazakhstan,qostanay
shar,shar,kazakhstan,shyghys qazaqstan
semey,semey,kazakhstan,shyghys qazaqstan
boralday,boralday,kazakhstan,almaty
zhetiqara,zhetiqara,kazakhstan,qostanay
aqadyr,aqadyr,kazakhstan,qaraghandy
zharkent,zharkent,kazakhstan,almaty
qulsary,qulsary,kazakhstan,atyraū
balyqshy,balyqshy,kazakhstan,atyraū
atyrau,atyrau,kazakhstan,atyraū
xiangkhoang,xiangkhoang,laos,xiangkhouang
muang phônsavan,muang phonsavan,laos,xiangkhouang
vientiane,vientiane,laos,viangchan
ban houayxay,ban houayxay,laos,bokèo
muang phôn-hông,muang phon-hong,laos,viangchan
louang namtha,louang namtha,laos,louangnamtha
phongsali,phongsali,laos,phôngsali
thakhek,thakhek,laos,khammouan
muang pakxan,muang pakxan,laos,bolikhamxai
louangphrabang,louangphrabang,laos,louangphabang
xaignabouri,xaignabouri,laos,xaignabouli
savannakhet,savannakhet,laos,savannakhét
lamam,lamam,laos,xékong
pakxe,pakxe,laos,champasak
attapu,attapu,laos,attapu
xam nua,xam nua,laos,houaphan
muang xai,muang xai,laos,oudômxai
saravan,saravan,laos,salavan
champasak,champasak,laos,champasak
beirut,beirut,lebanon,beyrouth
zahlé,zahle,lebanon,béqaa
baalbek,baalbek,lebanon,baalbek-hermel
b'abda,b'abda,lebanon,mont-liban
halba,halba,lebanon,aakkâr
saida,saida,lebanon,liban-sud
nabatiye et tahta,nabatiye et tahta,lebanon,nabatîyé
trablous,trablous,lebanon,liban-nord
castries,castries,saint lucia,castries
gamprin,gamprin,liechtenstein,gamprin
triesenberg,triesenberg,liechtenstein,triesenberg
schaan,schaan,liechtenstein,schaan
ruggell,ruggell,liechtenstein,ruggell
mauren,mauren,liechtenstein,mauren
eschen,eschen,liechtenstein,eschen
triesen,triesen,liechtenstein,triesen
balzers,balzers,liechtenstein,balzers
vaduz,vaduz,liechtenstein,vaduz
planken,planken,liechtenstein,planken
schellenberg,schellenberg,liechtenstein,schellenberg
colombo,colombo,sri lanka,western
ratnapura,ratnapura,sri lanka,sabaragamuwa
matara,matara,sri lanka,southern
sri jawewardenepura kotte,sri jawewardenepura kotte,sri lanka,western
moratuwa,moratuwa,sri lanka,western
anuradhapura,anuradhapura,sri lanka,north central
galle,galle,sri lanka,southern
puttalan,puttalan,sri lanka,north western
kandy,kandy,sri lanka,central
badulla,badulla,sri lanka,uva
trincomalee,trincomalee,sri lanka,eastern
kilinochchi,kilinochchi,sri lanka,northern
batticaloa,batticaloa,sri lanka,eastern
jaffna,jaffna,sri lanka,northern
bopolu,bopolu,liberia,gbarpolu
voinjama,voinjama,liberia,lofa
robertsport,robertsport,liberia,grand cape mount
buchanan,buchanan,liberia,grand bassa
monrovia,monrovia,liberia,montserrado
tubmanburg,tubmanburg,liberia,bomi
buchanan,buchanan,liberia,grand bassa
zwedru,zwedru,liberia,grand gedeh
barclayville,barclayville,liberia,grand kru
rivercess,rivercess,liberia,river cess
fish town,fish town,liberia,river gee
gbarnga,gbarnga,liberia,bong
kakata,kakata,liberia,margibi
sanniquellie,sanniquellie,liberia,nimba
greenville,greenville,liberia,sinoe
bensonville,bensonville,liberia,montserrado
harper,harper,liberia,maryland
maseru,maseru,lesotho,maseru
mokhotlong,mokhotlong,lesotho,mokhotlong
thaba-tseka,thaba-tseka,lesotho,thaba-tseka
moyeni,moyeni,lesotho,quthing
qacha’s nek,qacha's nek,lesotho,qacha’s nek
mafetang,mafetang,lesotho,mafeteng
hlotse,hlotse,lesotho,leribe
teyateyaneng,teyateyaneng,lesotho,berea
mohales hoek,mohales hoek,lesotho,mohale’s hoek
butha-buthe,butha-buthe,lesotho,butha-buthe
klaipėda,klaipeda,lithuania,klaipėdos miestas
palanga,palanga,lithuania,palangos miestas
nida,nida,lithuania,neringa
kretinga,kretinga,lithuania,kretinga
tauragė,taurage,lithuania,tauragė
šilutė,silute,lithuania,šilutė
rietavas,rietavas,lithuania,rietavo
plungė,plunge,lithuania,plungė
šilalė,silale,lithuania,šilalė
visaginas,visaginas,lithuania,visaginas
zarasai,zarasai,lithuania,zarasai
ignalina,ignalina,lithuania,ignalina
utena,utena,lithuania,utena
švenčionys,svencionys,lithuania,švenčionys
rokiškis,rokiskis,lithuania,rokiškis
molėtai,moletai,lithuania,molėtai
šalčininkai,salcininkai,lithuania,šalčininkai
vilnius,vilnius,lithuania,vilniaus miestas
kupiškis,kupiskis,lithuania,kupiškis
trakai,trakai,lithuania,trakai
biržai,birzai,lithuania,biržai
anykščiai,anyksciai,lithuania,anykščiai
telšiai,telsiai,lithuania,telšiai
kelmė,kelme,lithuania,kelmė
marijampolė,marijampole,lithuania,marijampolė
lazdijai,lazdijai,lithuania,lazdijai
šakiai,sakiai,lithuania,šakiai
radviliškis,radviliskis,lithuania,radviliškis
šiauliai,siauliai,lithuania,šiaulių miestas
birštonas,birstonas,lithuania,birštono
druskininkai,druskininkai,lithuania,druskininkai
kėdainiai,kedainiai,lithuania,kėdainiai
alytus,alytus,lithuania,alytaus miestas
prienai,prienai,lithuania,prienai
elektrėnai,elektrenai,lithuania,elektrénai
kaunas,kaunas,lithuania,kauno miestas
jonava,jonava,lithuania,jonava
kaišiadorys,kaisiadorys,lithuania,kaišiadorys
panevežys,panevezys,lithuania,panevėžio miestas
joniškis,joniskis,lithuania,joniškis
kazlų rūda,kazlu ruda,lithuania,kazlų rūdos
vilkaviškis,vilkaviskis,lithuania,vilkaviškis
pasvalys,pasvalys,lithuania,pasvalys
pakruojis,pakruojis,lithuania,pakruojis
raseiniai,raseiniai,lithuania,raseiniai
pagėgiai,pagegiai,lithuania,pagégiai
jurbarkas,jurbarkas,lithuania,jurbarkas
kalvarija,kalvarija,lithuania,kalvarijos
širvintos,sirvintos,lithuania,širvintos
skuodas,skuodas,lithuania,skuodas
mažeikiai,mazeikiai,lithuania,mažeikiai
akmenė,akmene,lithuania,akmenė
ukmergė,ukmerge,lithuania,ukmergė
varėna,varena,lithuania,varėna
capellen,capellen,luxembourg,capellen
esch-sur-alzette,esch-sur-alzette,luxembourg,esch-sur-alzette
remich,remich,luxembourg,remich
echternach,echternach,luxembourg,echternach
mersch,mersch,luxembourg,mersch
redange-sur-attert,redange-sur-attert,luxembourg,redange
vianden,vianden,luxembourg,vianden
wiltz,wiltz,luxembourg,wiltz
clervaux,clervaux,luxembourg,clervaux
diekirch,diekirch,luxembourg,diekirch
grevenmacher,grevenmacher,luxembourg,grevenmacher
luxembourg,luxembourg,luxembourg,luxembourg
skrunda,skrunda,latvia,skrundas novads
daugavpils,daugavpils,latvia,daugavpils novads
jēkabpils,jekabpils,latvia,jēkabpils novads
aglona,aglona,latvia,aglonas novads
lielvārde,lielvarde,latvia,lielvārdes novads
saldus,saldus,latvia,saldus novads
ozolnieki,ozolnieki,latvia,ozolnieku novads
brocēni,broceni,latvia,brocēnu novads
jelgava,jelgava,latvia,jelgavas novads
pilsrundāle,pilsrundale,latvia,rundāles novads
dobele,dobele,latvia,dobeles novads
iecava,iecava,latvia,iecavas novads
jaunpils,jaunpils,latvia,jaunpils novads
auce,auce,latvia,auces novads
tukums,tukums,latvia,tukuma novads
tērvete,tervete,latvia,tērvetes novads
salacgrīva,salacgriva,latvia,salacgrīvas novads
ventspils,ventspils,latvia,ventspils
dundaga,dundaga,latvia,dundagas novads
jaunjelgava,jaunjelgava,latvia,jaunjelgavas novads
nereta,nereta,latvia,neretas novads
alsunga,alsunga,latvia,alsungas novads
kuldīga,kuldiga,latvia,kuldīgas novads
pāvilosta,pavilosta,latvia,pāvilostas novads
piņķi,pinki,latvia,babītes novads
ādaži,adazi,latvia,ādažu novads
kandava,kandava,latvia,kandavas novads
roja,roja,latvia,rojas novads
carnikava,carnikava,latvia,carnikavas novads
garkalne,garkalne,latvia,garkalnes novads
saulkrasti,saulkrasti,latvia,saulkrastu novads
smārde,smarde,latvia,engures novads
mērsrags,mersrags,latvia,mērsraga novads
talsi,talsi,latvia,talsu novads
jūrmala,jurmala,latvia,jūrmala
mārupe,marupe,latvia,mārupes novads
ulbroka,ulbroka,latvia,stopiņu novads
zilupe,zilupe,latvia,zilupes novads
ludza,ludza,latvia,ludzas novads
dagda,dagda,latvia,dagdas novads
baltinava,baltinava,latvia,baltinavas novads
cibla,cibla,latvia,ciblas novads
kārsava,karsava,latvia,kārsavas novads
riga,riga,latvia,rīga
krāslava,kraslava,latvia,krāslavas novads
limbaži,limbazi,latvia,limbažu novads
preiļi,preili,latvia,preiļu novads
vecvārkava,vecvarkava,latvia,vārkavas novads
ilūkste,ilukste,latvia,ilūkstes novads
nīca,nica,latvia,nīcas novads
bauska,bauska,latvia,bauskas novads
viļaka,vilaka,latvia,viļakas novads
līvāni,livani,latvia,līvānu novads
alūksne,aluksne,latvia,alūksnes novads
rēzekne,rezekne,latvia,rēzekne
rugāji,rugaji,latvia,rugāju novads
riebiņi,riebini,latvia,riebiņu novads
viļāni,vilani,latvia,viļānu novads
varakļāni,varaklani,latvia,varakļānu novads
ape,ape,latvia,apes novads
madona,madona,latvia,madonas novads
jaunpiebalga,jaunpiebalga,latvia,jaunpiebalgas novads
lubāna,lubana,latvia,lubānas novads
gulbene,gulbene,latvia,gulbenes novads
balvi,balvi,latvia,balvu novads
aknīste,akniste,latvia,aknīstes novads
viesīte,viesite,latvia,viesītes novads
cesvaine,cesvaine,latvia,cesvaines novads
ķegums,kegums,latvia,ķeguma novads
vecpiebalga,vecpiebalga,latvia,vecpiebalgas novads
smiltene,smiltene,latvia,smiltenes novads
drabeši,drabesi,latvia,amatas novads
cēsis,cesis,latvia,cēsu novads
ērgļi,ergli,latvia,ērgļu novads
valka,valka,latvia,valkas novads
grobiņa,grobina,latvia,grobiņas novads
strenči,strenci,latvia,strenču novads
mūrmuiža,murmuiza,latvia,beverīnas novads
mazsalaca,mazsalaca,latvia,mazsalacas novads
aloja,aloja,latvia,alojas novads
burtnieki,burtnieki,latvia,burtnieku novads
koknese,koknese,latvia,kokneses novads
aizkraukle,aizkraukle,latvia,aizkraukles novads
skrīveri,skriveri,latvia,skrīveru novads
baldone,baldone,latvia,baldones novads
vecumnieki,vecumnieki,latvia,vecumnieku novads
sala,sala,latvia,salas novads
pļaviņas,plavinas,latvia,pļaviņu novads
liepaga,liepaga,latvia,liepāja
rūjiena,rujiena,latvia,rūjienas novads
naukšēni,naukseni,latvia,naukšēnu novads
lieģi,liegi,latvia,durbes novads
rauna,rauna,latvia,raunas novads
aizpute,aizpute,latvia,aizputes novads
kocēni,koceni,latvia,kocēnu novads
valmiera,valmiera,latvia,valmiera
sigulda,sigulda,latvia,siguldas novads
priekuļi,priekuli,latvia,priekuļu novads
ogre,ogre,latvia,ogres novads
ragana,ragana,latvia,krimuldas novads
loja,loja,latvia,sējas novads
ropaži,ropazi,latvia,ropažu novads
priekule,priekule,latvia,priekules novads
rucava,rucava,latvia,rucavas novads
salaspils,salaspils,latvia,salaspils novads
ikšķile,ikskile,latvia,ikšķiles novads
inčukalns,incukalns,latvia,inčukalna novads
mālpils,malpils,latvia,mālpils novads
olaine,olaine,latvia,olaines novads
ķekava,kekava,latvia,ķekavas novads
līgatne,ligatne,latvia,līgatnes novads
stalbe,stalbe,latvia,pārgaujas novads
vaiņode,vainode,latvia,vaiņodes novads
tripoli,tripoli,libya,ţarābulus
gharyan,gharyan,libya,al jabal al gharbī
surt,surt,libya,surt
marzuq,marzuq,libya,murzuq
sabha,sabha,libya,sabhā
misratah,misratah,libya,mişrātah
al ‘azīzīyah,al `aziziyah,libya,al jafārah
zuwarah,zuwarah,libya,an nuqāţ al khams
nalut,nalut,libya,nālūt
hun,hun,libya,al jufrah
darnah,darnah,libya,darnah
al bayda,al bayda,libya,al jabal al akhdar
az zawiyah,az zawiyah,libya,az zāwiyah
tajarhi,tajarhi,libya,
al jaghbub,al jaghbub,libya,
awjilah,awjilah,libya,
al khums,al khums,libya,al marqab
ajdabiya,ajdabiya,libya,al wāḩāt
al kufrah,al kufrah,libya,al kufrah
al jawf,al jawf,libya,
as sidr,as sidr,libya,
umm al abid,umm al abid,libya,
banghazi,banghazi,libya,banghāzī
dirj,dirj,libya,nālūt
mizdah,mizdah,libya,al jabal al gharbī
ghadamis,ghadamis,libya,nālūt
qaminis,qaminis,libya,banghāzī
awbārī,awbari,libya,wādī al ḩayāt
ghat,ghat,libya,ghāt
bani walid,bani walid,libya,mişrātah
zillah,zillah,libya,al jufrah
tmassah,tmassah,libya,murzuq
idrī,idri,libya,wādī ash shāţi’
el agheila,el agheila,libya,al wāḩāt
birak,birak,libya,wādī ash shāţi’
maradah,maradah,libya,al wāḩāt
shahhat,shahhat,libya,al jabal al akhdar
al marj,al marj,libya,al marj
tubruq,tubruq,libya,al buţnān
kenitra,kenitra,morocco,rabat-salé-kénitra
goulimine,goulimine,morocco,guelmim-oued noun
fez,fez,morocco,fès-meknès
casablanca,casablanca,morocco,casablanca-settat
agadir,agadir,morocco,souss-massa
béni mellal,beni mellal,morocco,béni mellal-khénifra
tangier,tangier,morocco,tanger-tétouan-al hoceïma
settat,settat,morocco,casablanca-settat
oujda,oujda,morocco,oriental
meknes,meknes,morocco,fès-meknès
rabat,rabat,morocco,rabat-salé-kénitra
marrakesh,marrakesh,morocco,marrakech-safi
el jadida,el jadida,morocco,casablanca-settat
er rachidia,er rachidia,morocco,drâa-tafilalet
tan tan,tan tan,morocco,guelmim-oued noun
taza,taza,morocco,fès-meknès
larache,larache,morocco,tanger-tétouan-al hoceïma
ksar el kebir,ksar el kebir,morocco,tanger-tétouan-al hoceïma
safi,safi,morocco,marrakech-safi
tiznit,tiznit,morocco,souss-massa
ouezzane,ouezzane,morocco,tanger-tétouan-al hoceïma
monaco,monaco,monaco,
leova,leova,moldova,leova
rezina,rezina,moldova,rezina
căuşeni,causeni,moldova,căuşeni
rîşcani,riscani,moldova,rîşcani
sîngerei,singerei,moldova,sîngerei
făleşti,falesti,moldova,făleşti
floreşti,floresti,moldova,floreşti
şoldăneşti,soldanesti,moldova,şoldăneşti
ştefan vodă,stefan voda,moldova,ştefan-vodă
orhei,orhei,moldova,orhei
comrat,comrat,moldova,găgăuzia
cimişlia,cimislia,moldova,cimişlia
cantemir,cantemir,moldova,cantemir
basarabeasca,basarabeasca,moldova,basarabeasca
edineţ,edinet,moldova,edineţ
ocniţa,ocnita,moldova,ocniţa
drochia,drochia,moldova,drochia
donduşeni,donduseni,moldova,donduşeni
briceni,briceni,moldova,briceni
ialoveni,ialoveni,moldova,ialoveni
bălți,balti,moldova,bălţi
criuleni,criuleni,moldova,criuleni
bender,bender,moldova,bender
anenii noi,anenii noi,moldova,anenii noi
cahul,cahul,moldova,cahul
chișinău,chisinau,moldova,chişinău
straşeni,straseni,moldova,străşeni
tiraspol,tiraspol,moldova,stînga nistrului
teleneşti,telenesti,moldova,teleneşti
taraclia,taraclia,moldova,taraclia
dubăsari,dubasari,moldova,stînga nistrului
cocieri,cocieri,moldova,dubăsari
călăraşi,calarasi,moldova,călăraşi
glodeni,glodeni,moldova,glodeni
hînceşti,hincesti,moldova,hînceşti
nisporeni,nisporeni,moldova,nisporeni
soroca,soroca,moldova,soroca
ungheni,ungheni,moldova,ungheni
berane,berane,montenegro,berane
plav,plav,montenegro,plav
andrijevica,andrijevica,montenegro,andrijevica
petnjica,petnjica,montenegro,petnjica
gusinje,gusinje,montenegro,gusinje
kolašin,kolasin,montenegro,kolašin
podgorica,podgorica,montenegro,podgorica
bijelo polje,bijelo polje,montenegro,bijelo polje
bar,bar,montenegro,bar
budva,budva,montenegro,budva
cetinje,cetinje,montenegro,cetinje
danilovgrad,danilovgrad,montenegro,danilovgrad
herceg-novi,herceg-novi,montenegro,herceg novi
kotor,kotor,montenegro,kotor
mojkovac,mojkovac,montenegro,mojkovac
nikšić,niksic,montenegro,nikšić
plužine,pluzine,montenegro,plužine
pljevlja,pljevlja,montenegro,pljevlja
rožaje,rozaje,montenegro,rožaje
